City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Huarmey,PE,-10.0681,-78.1522,63.84,83,38,9.46,scattered clouds
322,Avera,US,33.194,-82.5271,71.65,60,34,7.72,scattered clouds
323,Sitka,US,57.0531,-135.33,55.29,62,20,5.75,few clouds
324,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,88,43,4.68,scattered clouds
325,Port Shepstone,ZA,-30.7414,30.455,67.24,91,21,12.08,few clouds
326,Homer,US,59.6425,-151.5483,53.47,82,100,5.75,light rain
327,Terrace Bay,CA,48.7834,-87.1,46.26,77,45,6.31,scattered clouds
328,Vardo,NO,70.3705,31.1107,40.98,93,100,5.75,overcast clouds
329,Banda Aceh,ID,5.5577,95.3222,79.61,73,83,13.42,broken clouds
330,Asyut,EG,27.181,31.1837,82.58,30,0,8.34,clear sky
331,Belmonte,BR,-15.8631,-38.8828,74.03,90,19,6.51,few clouds
332,East London,ZA,-33.0153,27.9116,66.65,93,28,6.02,scattered clouds
333,Whitehorse,CA,60.7161,-135.0538,54.37,46,75,18.41,broken clouds
334,Beian,NO,63.6559,9.5683,51.01,93,75,12.66,broken clouds
335,Tuatapere,NZ,-46.1333,167.6833,48.16,66,99,13.2,overcast clouds
336,Brokopondo,SR,4.75,-55.1667,78.39,85,92,10.47,overcast clouds
337,Alofi,NU,-19.0595,-169.9187,80.49,61,50,12.66,scattered clouds
338,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,9.22,few clouds
339,Sioux Lookout,CA,50.1001,-91.917,64.47,59,40,6.91,scattered clouds
340,Manado,ID,1.487,124.8455,83.17,78,20,2.3,few clouds
341,Samarai,PG,-10.6167,150.6667,82.27,78,90,10.31,overcast clouds
342,Ayorou,NE,14.7308,0.9174,90.79,41,35,6.2,scattered clouds
343,Neepawa,CA,50.2289,-99.4664,63.0,53,89,4.88,overcast clouds
344,Conceicao Do Araguaia,BR,-8.2578,-49.2647,90.99,20,59,4.09,broken clouds
345,Kurilsk,RU,45.2333,147.8833,54.99,69,6,12.77,clear sky
346,Vao,NC,-22.6667,167.4833,70.12,73,100,14.32,overcast clouds
